"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"1400000US48113009609","Census Tract 96.09, Dallas County, Texas","2993","196"
"1400000US48139060214","Census Tract 602.14, Ellis County, Texas","9579","477"
"1400000US48061014001","Census Tract 140.01, Cameron County, Texas","1813","311"
"1400000US48141001001","Census Tract 10.01, El Paso County, Texas","3245","319"
"1400000US48437950400","Census Tract 9504, Swisher County, Texas","1313","124"
"1400000US48201555600","Census Tract 5556, Harris County, Texas","6362","650"
"1400000US48291700900","Census Tract 7009, Liberty County, Texas","8352","898"
"1400000US48027023300","Census Tract 233, Bell County, Texas","9723","721"
"1400000US48141010341","Census Tract 103.41, El Paso County, Texas","37826","1916"
"1400000US48183010600","Census Tract 106, Gregg County, Texas","5866","458"
"1400000US48201534001","Census Tract 5340.01, Harris County, Texas","3462","383"
"1400000US48201410702","Census Tract 4107.02, Harris County, Texas","2808","333"
"1400000US48063950200","Census Tract 9502, Camp County, Texas","4862","174"
"1400000US48141001107","Census Tract 11.07, El Paso County, Texas","6986","618"
"1400000US48303000404","Census Tract 4.04, Lubbock County, Texas","7891","676"
"1400000US48375011500","Census Tract 115, Potter County, Texas","4421","491"
"1400000US48201430200","Census Tract 4302, Harris County, Texas","1558","170"
"1400000US48347950100","Census Tract 9501, Nacogdoches County, Texas","2953","283"
"1400000US48085030527","Census Tract 305.27, Collin County, Texas","5291","272"
"1400000US48453001747","Census Tract 17.47, Travis County, Texas","6325","554"
"1400000US48113018141","Census Tract 181.41, Dallas County, Texas","4017","542"
"1400000US48245000600","Census Tract 6, Jefferson County, Texas","5263","672"
"1400000US48027980002","Census Tract 9800.02, Bell County, Texas","0","13"
"1400000US48085030404","Census Tract 304.04, Collin County, Texas","5763","446"
"1400000US48187210707","Census Tract 2107.07, Guadalupe County, Texas","5588","534"
"1400000US48141010203","Census Tract 102.03, El Paso County, Texas","4742","243"
"1400000US48367140407","Census Tract 1404.07, Parker County, Texas","10930","880"
"1400000US48013960600","Census Tract 9606, Atascosa County, Texas","5803","448"
"1400000US48201421700","Census Tract 4217, Harris County, Texas","4751","335"
"1400000US48439121604","Census Tract 1216.04, Tarrant County, Texas","6770","991"
"1400000US48029120902","Census Tract 1209.02, Bexar County, Texas","7283","806"
"1400000US48201552200","Census Tract 5522, Harris County, Texas","7798","623"
"1400000US48201550602","Census Tract 5506.02, Harris County, Texas","3160","246"
"1400000US48141000204","Census Tract 2.04, El Paso County, Texas","5533","627"
"1400000US48379950100","Census Tract 9501, Rains County, Texas","6467","351"
"1400000US48113008604","Census Tract 86.04, Dallas County, Texas","3004","485"
"1400000US48167722700","Census Tract 7227, Galveston County, Texas","4952","586"
"1400000US48251130302","Census Tract 1303.02, Johnson County, Texas","5456","446"
"1400000US48453001745","Census Tract 17.45, Travis County, Texas","2335","159"
"1400000US48061013600","Census Tract 136, Cameron County, Texas","3016","423"
"1400000US48029192300","Census Tract 1923, Bexar County, Texas","5007","567"
"1400000US48439105406","Census Tract 1054.06, Tarrant County, Texas","5116","537"
"1400000US48029121403","Census Tract 1214.03, Bexar County, Texas","5679","539"
"1400000US48253020300","Census Tract 203, Jones County, Texas","2156","228"
"1400000US48245001900","Census Tract 19, Jefferson County, Texas","2954","297"
"1400000US48123970300","Census Tract 9703, DeWitt County, Texas","4079","380"
"1400000US48029121000","Census Tract 1210, Bexar County, Texas","8202","764"
"1400000US48201230700","Census Tract 2307, Harris County, Texas","2873","362"
"1400000US48029121116","Census Tract 1211.16, Bexar County, Texas","5419","416"
"1400000US48469000602","Census Tract 6.02, Victoria County, Texas","4778","418"
"1400000US48201532002","Census Tract 5320.02, Harris County, Texas","1284","196"
"1400000US48029181506","Census Tract 1815.06, Bexar County, Texas","4310","382"
"1400000US48091310802","Census Tract 3108.02, Comal County, Texas","8188","671"
"1400000US48141004307","Census Tract 43.07, El Paso County, Texas","5807","706"
"1400000US48167722002","Census Tract 7220.02, Galveston County, Texas","3300","391"
"1400000US48201250402","Census Tract 2504.02, Harris County, Texas","21495","857"
"1400000US48361021800","Census Tract 218, Orange County, Texas","2457","400"
"1400000US48121021800","Census Tract 218, Denton County, Texas","3615","228"
"1400000US48113018801","Census Tract 188.01, Dallas County, Texas","5235","467"
"1400000US48201433001","Census Tract 4330.01, Harris County, Texas","6087","636"
"1400000US48201431600","Census Tract 4316, Harris County, Texas","2937","177"
